Network,School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
ES Network - Burnham Park,609781,Attucks,275,0,0.0,273,99.3,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,1,0.4,,,
ES Network - Burnham Park,610246,Beasley Magnet,"1,455",2,0.1,"1,407",96.7,0,0.0,5,0.3,25,1.7,8,0.5,2,0.1,2,0.1,4,0.3,,,
ES Network - Burnham Park,610237,Beethoven,389,2,0.5,371,95.4,0,0.0,0,0.0,5,1.3,1,0.3,0,0.0,0,0.0,10,2.6,,,
ES Network - Burnham Park,609819,Burke,272,0,0.0,265,97.4,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,0,0.0,5,1.8,,,
ES Network - Burnham Park,610018,Canter Middle,228,3,1.3,210,92.1,0,0.0,1,0.4,9,3.9,2,0.9,3,1.3,0,0.0,0,0.0,,,
ES Network - Burnham Park,609837,Carnegie,692,5,0.7,647,93.5,0,0.0,1,0.1,11,1.6,2,0.3,0,0.0,0,0.0,26,3.8,,,
ES Network - Burnham Park,609844,Carter,346,0,0.0,338,97.7,0,0.0,0,0.0,8,2.3,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,609891,Doolittle,295,0,0.0,291,98.6,0,0.0,0,0.0,3,1.0,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,609894,Drake,242,3,1.2,226,93.4,0,0.0,0,0.0,5,2.1,1,0.4,4,1.7,0,0.0,3,1.2,,,
ES Network - Burnham Park,610266,Dumas,331,0,0.0,328,99.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.9,,,
ES Network - Burnham Park,609919,Fiske,220,0,0.0,217,98.6,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,,,
ES Network - Burnham Park,609928,Fuller,270,0,0.0,262,97.0,0,0.0,0,0.0,1,0.4,2,0.7,0,0.0,0,0.0,5,1.9,,,
ES Network - Burnham Park,609969,Harte,328,10,3.0,260,79.3,0,0.0,0,0.0,16,4.9,4,1.2,4,1.2,0,0.0,34,10.4,,,
ES Network - Burnham Park,610030,Kozminski,370,3,0.8,359,97.0,0,0.0,0,0.0,6,1.6,2,0.5,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610061,Mayo,408,0,0.0,379,92.9,0,0.0,0,0.0,4,1.0,0,0.0,0,0.0,0,0.0,25,6.1,,,
ES Network - Burnham Park,610276,Mollison,237,0,0.0,233,98.3,0,0.0,0,0.0,2,0.8,1,0.4,0,0.0,0,0.0,1,0.4,,,
ES Network - Burnham Park,610090,Murray Magnet,523,36,6.9,415,79.3,0,0.0,2,0.4,21,4.0,36,6.9,13,2.5,0,0.0,0,0.0,,,
ES Network - Burnham Park,610277,Overton,431,1,0.2,396,91.9,0,0.0,0,0.0,5,1.2,0,0.0,0,0.0,0,0.0,29,6.7,,,
ES Network - Burnham Park,610126,Pershing E. Magnet,249,1,0.4,230,92.4,0,0.0,0,0.0,13,5.2,1,0.4,2,0.8,0,0.0,2,0.8,,,
ES Network - Burnham Park,610395,Pershing W. Magnet,240,2,0.8,227,94.6,0,0.0,1,0.4,4,1.7,4,1.7,0,0.0,0,0.0,2,0.8,,,
ES Network - Burnham Park,610142,Ray,676,142,21.0,326,48.2,0,0.0,2,0.3,63,9.3,51,7.5,88,13.0,0,0.0,4,0.6,,,
ES Network - Burnham Park,610143,Reavis,279,0,0.0,241,86.4,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,3,1.1,33,11.8,,,
ES Network - Burnham Park,610256,Robinson,139,0,0.0,137,98.6,0,0.0,0,0.0,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610150,Ross,344,1,0.3,341,99.1,0,0.0,0,0.0,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610169,Sexton,359,0,0.0,354,98.6,0,0.0,0,0.0,4,1.1,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610175,Shoesmith,345,3,0.9,329,95.4,0,0.0,0,0.0,9,2.6,1,0.3,2,0.6,0,0.0,1,0.3,,,
ES Network - Burnham Park,609990,South Loop,815,220,27.0,377,46.3,0,0.0,1,0.1,73,9.0,37,4.5,79,9.7,24,2.9,4,0.5,,,
ES Network - Burnham Park,610065,Till,492,0,0.0,482,98.0,0,0.0,0,0.0,6,1.2,0,0.0,0,0.0,0,0.0,4,0.8,,,
ES Network - Burnham Park,610213,Wadsworth,251,0,0.0,247,98.4,0,0.0,1,0.4,1,0.4,2,0.8,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610110,Wells Prep,198,0,0.0,155,78.3,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,41,20.7,,,
ES Network - Burnham Park,610232,Williams,256,1,0.4,251,98.0,0,0.0,0,0.0,3,1.2,1,0.4,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,610336,Williams Middle,127,0,0.0,126,99.2,0,0.0,0,0.0,1,0.8,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Burnham Park,609977,Woodlawn,244,0,0.0,238,97.5,0,0.0,0,0.0,4,1.6,1,0.4,0,0.0,0,0.0,1,0.4,,,
ES Network - Burnham Park,610345,Woodson South,370,0,0.0,360,97.3,0,0.0,0,0.0,9,2.4,0,0.0,0,0.0,0,0.0,1,0.3,,,
ES Network - Englewood-Gresham,609775,Altgeld,443,0,0.0,436,98.4,0,0.0,0,0.0,5,1.1,2,0.5,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610265,Banneker,337,0,0.0,332,98.5,0,0.0,0,0.0,4,1.2,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609790,Barton,643,2,0.3,637,99.1,0,0.0,0,0.0,4,0.6,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609791,Bass,336,0,0.0,331,98.5,0,0.0,0,0.0,3,0.9,2,0.6,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610238,Bond,478,1,0.2,462,96.7,0,0.0,0,0.0,14,2.9,0,0.0,0,0.0,0,0.0,1,0.2,,,
ES Network - Englewood-Gresham,610161,Bontemps,314,0,0.0,313,99.7,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609864,Cook,459,0,0.0,455,99.1,0,0.0,0,0.0,2,0.4,2,0.4,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609869,Copernicus,325,0,0.0,321,98.8,0,0.0,0,0.0,3,0.9,0,0.0,0,0.0,1,0.3,0,0.0,,,
ES Network - Englewood-Gresham,610003,Cuffe,458,0,0.0,449,98.0,0,0.0,0,0.0,6,1.3,3,0.7,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610521,Davis M. Magnet,291,0,0.0,279,95.9,0,0.0,0,0.0,8,2.7,1,0.3,1,0.3,0,0.0,2,0.7,,,
ES Network - Englewood-Gresham,609897,Earle,358,0,0.0,348,97.2,0,0.0,0,0.0,10,2.8,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609927,Foster Park,401,2,0.5,394,98.3,0,0.0,0,0.0,4,1.0,1,0.2,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609913,Goodlow Magnet,378,0,0.0,361,95.5,0,0.0,0,0.0,8,2.1,3,0.8,0,0.0,0,0.0,6,1.6,,,
ES Network - Englewood-Gresham,609955,Gresham,341,0,0.0,337,98.8,0,0.0,1,0.3,2,0.6,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609986,Henderson,356,0,0.0,352,98.9,0,0.0,0,0.0,2,0.6,1,0.3,0,0.0,0,0.0,1,0.3,,,
ES Network - Englewood-Gresham,610299,Hinton,281,2,0.7,253,90.0,0,0.0,0,0.0,7,2.5,0,0.0,0,0.0,0,0.0,19,6.8,,,
ES Network - Englewood-Gresham,609997,Holmes,288,0,0.0,284,98.6,0,0.0,0,0.0,3,1.0,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610369,Jackson M.,302,0,0.0,298,98.7,0,0.0,0,0.0,3,1.0,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,609805,Joplin,493,0,0.0,484,98.2,0,0.0,0,0.0,5,1.0,3,0.6,1,0.2,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610019,Kershaw Magnet,260,0,0.0,254,97.7,0,0.0,0,0.0,6,2.3,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610290,Mays,307,0,0.0,301,98.0,0,0.0,0,0.0,4,1.3,1,0.3,0,0.0,0,0.0,1,0.3,,,
ES Network - Englewood-Gresham,610072,Morgan,236,0,0.0,229,97.0,0,0.0,0,0.0,5,2.1,0,0.0,0,0.0,1,0.4,1,0.4,,,
ES Network - Englewood-Gresham,609793,Nicholson,469,0,0.0,466,99.4,0,0.0,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,,,
ES Network - Englewood-Gresham,610102,Oglesby,442,0,0.0,440,99.5,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610108,O'Toole,434,1,0.2,415,95.6,0,0.0,0,0.0,16,3.7,0,0.0,1,0.2,1,0.2,0,0.0,,,
