Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Skyway Elementary Network,610280,6980,Buckingham,26,0,0,25,96.2,0,0,0,0,1,3.8,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609817,2440,Budlong,862,252,29.2,32,3.7,0,0,11,1.3,384,44.5,20,2.3,145,16.8,4,0.5,14,1.6,,,
Fullerton Elementary Network,609818,2450,Burbank,1132,11,1,75,6.6,0,0,1,0.1,1028,90.8,4,0.4,10,0.9,2,0.2,1,0.1,,,
Burnham Park Elementary Network,609819,2460,Burke,241,0,0,237,98.3,0,0,0,0,1,0.4,0,0,0,0,0,0,3,1.2,,,
Ravenswood-Ridge Elementary Network,609820,2470,Burley,570,297,52.1,22,3.9,0,0,6,1.1,173,30.4,32,5.6,38,6.7,0,0,2,0.4,,,
Lake Calumet Elementary Network,609821,2480,Burnham,283,0,0,281,99.3,0,0,0,0,2,0.7,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,609827,2520,Burnside Magnet,761,0,0,735,96.6,0,0,1,0.1,15,2,9,1.2,0,0,0,0,1,0.1,,,
Fulton Elementary Network,609828,2530,Burr,347,109,31.4,27,7.8,0,0,0,0,196,56.5,10,2.9,5,1.4,0,0,0,0,,,
Pershing Elementary Network,609829,2540,Burroughs,507,18,3.6,12,2.4,0,0,0,0,473,93.3,1,0.2,1,0.2,1,0.2,1,0.2,,,
Midway Elementary Network,609832,2570,Byrne,684,299,43.7,9,1.3,0,0,4,0.6,365,53.4,5,0.7,1,0.1,0,0,1,0.1,,,
Skyway Elementary Network,400023,6580,CICS - Avalon/So Shore,421,0,0,419,99.5,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0.2,,,
Fullerton Elementary Network,400025,4910,CICS - Bucktown,667,23,3.4,95,14.2,0,0,3,0.4,537,80.5,7,1,1,0.1,1,0.1,0,0,,,
North-Northwest Side High School Network,400113,8672,CICS - Chgo Quest North,231,18,7.8,155,67.1,0,0,2,0.9,47,20.3,5,2.2,0,0,0,0,4,1.7,,,
Southwest Side High School Network,400032,4911,CICS - Ellison,548,0,0,536,97.8,0,0,0,0,4,0.7,8,1.5,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,400108,8110,CICS - Hawkins,478,0,0,473,99,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,,,
O'Hare Elementary Network,400027,4913,CICS - Irving Park,517,67,13,52,10.1,0,0,0,0,339,65.6,15,2.9,23,4.4,0,0,21,4.1,,,
Lake Calumet Elementary Network,400092,8049,CICS - Lloyd Bond,346,1,0.3,342,98.8,0,0,0,0,3,0.9,0,0,0,0,0,0,0,0,,,
Far South Side High School Network,400033,2420,CICS - Longwood,1473,0,0,1460,99.1,0,0,1,0.1,10,0.7,2,0.1,0,0,0,0,0,0,,,
Rock Island Elementary Network,400026,4914,CICS - Loomis,592,0,0,578,97.6,0,0,0,0,8,1.4,2,0.3,1,0.2,0,0,3,0.5,,,
North-Northwest Side High School Network,400034,7740,CICS - Northtown,844,189,22.4,66,7.8,1,0.1,4,0.5,455,53.9,12,1.4,114,13.5,3,0.4,0,0,,,
