Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Lake Calumet Elementary Network,610045,4550,Lawrence,376,0,0,350,93.1,0,0,0,0,4,1.1,1,0.3,0,0,0,0,21,5.6,,,
Midway Elementary Network,610291,7170,Lee,829,24,2.9,10,1.2,0,0,6,0.7,789,95.2,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,400049,5870,Legacy Charter,512,3,0.6,492,96.1,0,0,2,0.4,10,2,2,0.4,0,0,0,0,3,0.6,,,
Austin-North Lawndale Elementary Network,610305,7320,Leland,180,1,0.6,177,98.3,0,0,0,0,2,1.1,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,610298,7240,Lenart,328,65,19.8,197,60.1,0,0,4,1.2,15,4.6,9,2.7,34,10.4,1,0.3,3,0.9,,,
Austin-North Lawndale Elementary Network,610036,4450,Lewis,560,2,0.4,476,85,0,0,0,0,82,14.6,0,0,0,0,0,0,0,0,,,
Pershing Elementary Network,610037,4470,Libby,538,2,0.4,469,87.2,0,0,0,0,61,11.3,3,0.6,0,0,0,0,3,0.6,,,
Fullerton Elementary Network,610038,4480,Lincoln,809,512,63.3,96,11.9,0,0,4,0.5,68,8.4,68,8.4,61,7.5,0,0,0,0,,,
North-Northwest Side High School Network,609738,1620,Lincoln Park HS,2342,619,26.4,613,26.2,1,0,7,0.3,739,31.6,79,3.4,254,10.8,5,0.2,25,1.1,,,
Southwest Side High School Network,610391,7110,Lindblom MSHS,908,19,2.1,646,71.1,0,0,4,0.4,223,24.6,7,0.8,7,0.8,2,0.2,0,0,,,
Fullerton Elementary Network,610039,4490,Linne,639,23,3.6,9,1.4,0,0,0,0,589,92.2,8,1.3,10,1.6,0,0,0,0,,,
Pilsen-Little Village Elementary Network,609834,2590,Little Village,835,3,0.4,0,0,0,0,1,0.1,831,99.5,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610040,4500,Lloyd,1323,12,0.9,37,2.8,0,0,6,0.5,1254,94.8,2,0.2,2,0.2,0,0,10,0.8,,,
Garfield-Humboldt Elementary Network,400011,4730,Locke A. Charter,588,2,0.3,575,97.8,0,0,1,0.2,7,1.2,2,0.3,0,0,0,0,1,0.2,,,
Fullerton Elementary Network,610041,4510,Locke J.,1303,132,10.1,34,2.6,0,0,15,1.2,1052,80.7,6,0.5,37,2.8,4,0.3,23,1.8,,,
Fullerton Elementary Network,610325,7560,Logandale Middle,942,21,2.2,52,5.5,0,0,0,0,857,91,5,0.5,5,0.5,1,0.1,1,0.1,,,
Fullerton Elementary Network,610541,8330,Lorca,858,40,4.7,21,2.4,0,0,5,0.6,777,90.6,4,0.5,4,0.5,1,0.1,6,0.7,,,
Austin-North Lawndale Elementary Network,610043,4530,Lovett,487,0,0,415,85.2,0,0,0,0,66,13.6,4,0.8,0,0,2,0.4,0,0,,,
Garfield-Humboldt Elementary Network,610044,4540,Lowell,587,5,0.9,155,26.4,0,0,0,0,426,72.6,1,0.2,0,0,0,0,0,0,,,
Fulton Elementary Network,610029,4380,Lozano Bilingual,316,11,3.5,16,5.1,0,0,1,0.3,274,86.7,0,0,0,0,0,0,14,4.4,,,
Fullerton Elementary Network,610046,4560,Lyon,1409,81,5.7,24,1.7,0,0,14,1,1259,89.4,7,0.5,22,1.6,1,0.1,1,0.1,,,
Pilsen-Little Village Elementary Network,610215,6310,Madero Middle,314,2,0.6,2,0.6,0,0,0,0,310,98.7,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,610047,4570,Madison,314,0,0,307,97.8,0,0,0,0,4,1.3,2,0.6,0,0,0,0,1,0.3,,,
Fullerton Elementary Network,610048,4580,Manierre,393,2,0.5,386,98.2,0,0,0,0,2,0.5,1,0.3,0,0,0,0,2,0.5,,,
West Side High School Network,609722,1460,Manley HS,599,0,0,595,99.3,0,0,0,0,3,0.5,1,0.2,0,0,0,0,0,0,,,
Skyway Elementary Network,610052,4610,Mann,471,0,0,463,98.3,0,0,0,0,6,1.3,0,0,1,0.2,0,0,1,0.2,,,
Garfield-Humboldt Elementary Network,610241,6590,Marconi,245,0,0,245,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
West Side High School Network,610502,1085,Marine Math & Sci Mil HS,367,4,1.1,132,36,0,0,2,0.5,224,61,2,0.5,3,0.8,0,0,0,0,,,
Midway Elementary Network,610053,4620,Marquette,1385,20,1.4,579,41.8,0,0,5,0.4,744,53.7,4,0.3,0,0,0,0,33,2.4,,,
Lake Calumet Elementary Network,610054,4630,Marsh,834,8,1,38,4.6,0,0,2,0.2,760,91.1,2,0.2,1,0.1,0,0,23,2.8,,,
West Side High School Network,609723,1470,Marshall HS,730,0,0,719,98.5,0,0,0,0,6,0.8,5,0.7,0,0,0,0,0,0,,,
O'Hare Elementary Network,610321,7520,Marshall Middle,434,14,3.2,13,3,0,0,0,0,393,90.6,3,0.7,11,2.5,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610056,4650,Mason,475,0,0,472,99.4,0,0,0,0,1,0.2,1,0.2,0,0,0,0,1,0.2,,,
West Side High School Network,610535,8025,Mason HS,48,0,0,48,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
North-Northwest Side High School Network,609724,1480,Mather HS,1656,365,22,236,14.3,0,0,6,0.4,614,37.1,26,1.6,403,24.3,6,0.4,0,0,,,
Austin-North Lawndale Elementary Network,610058,4670,May,456,0,0,451,98.9,0,0,1,0.2,3,0.7,1,0.2,0,0,0,0,0,0,,,
Fullerton Elementary Network,610059,4680,Mayer Magnet,595,274,46.1,143,24,1,0.2,6,1,128,21.5,21,3.5,12,2,5,0.8,5,0.8,,,
Burnham Park Elementary Network,610061,4700,Mayo,456,0,0,438,96.1,0,0,0,0,3,0.7,0,0,0,0,0,0,15,3.3,,,
Englewood-Gresham Elementary Network,610290,7150,Mays,301,0,0,296,98.3,0,0,0,0,4,1.3,1,0.3,0,0,0,0,0,0,,,
Fullerton Elementary Network,609968,3770,McAuliffe,856,15,1.8,58,6.8,0,0,3,0.4,765,89.4,1,0.1,0,0,0,0,14,1.6,,,
Pershing Elementary Network,610062,4710,McClellan,284,40,14.1,62,21.8,0,0,4,1.4,153,53.9,12,4.2,7,2.5,1,0.4,5,1.8,,,
Pilsen-Little Village Elementary Network,610063,4720,McCormick,892,2,0.2,0,0,0,0,3,0.3,886,99.3,1,0.1,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610269,6910,McCutcheon,349,11,3.2,165,47.3,0,0,0,0,84,24.1,9,2.6,78,22.3,1,0.3,1,0.3,,,
Skyway Elementary Network,610066,4750,McDade Classical,199,2,1,194,97.5,0,0,0,0,1,0.5,0,0,1,0.5,1,0.5,0,0,,,
Skyway Elementary Network,610312,7390,McDowell,188,2,1.1,179,95.2,0,0,0,0,3,1.6,4,2.1,0,0,0,0,0,0,,,
Midway Elementary Network,610067,4760,McKay,885,2,0.2,745,84.2,0,0,3,0.3,129,14.6,1,0.1,0,0,2,0.2,3,0.3,,,
Pershing Elementary Network,610353,7880,McKinley Park,789,5,0.6,9,1.1,0,0,2,0.3,720,91.3,1,0.1,11,1.4,0,0,41,5.2,,,
Austin-North Lawndale Elementary Network,610282,7040,McNair,423,0,0,388,91.7,0,0,1,0.2,31,7.3,2,0.5,1,0.2,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610070,4800,McPherson,687,64,9.3,27,3.9,0,0,8,1.2,537,78.2,5,0.7,45,6.6,0,0,1,0.1,,,
Garfield-Humboldt Elementary Network,610293,7190,Melody,315,0,0,310,98.4,0,0,0,0,0,0,1,0.3,0,0,0,0,4,1.3,,,
Lake Calumet Elementary Network,609902,3190,Metcalfe,485,1,0.2,484,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
South Side High School Network,610552,8682,Milburn HS,35,1,2.9,28,80,0,0,0,0,6,17.1,0,0,0,0,0,0,0,0,,,
Burnham Park Elementary Network,610551,8681,Milburn Middle,5,0,0,4,80,0,0,0,0,1,20,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,610171,5880,Mireles,901,9,1,444,49.3,0,0,4,0.4,432,47.9,4,0.4,2,0.2,1,0.1,5,0.6,,,
Fulton Elementary Network,610073,4840,Mitchell,343,56,16.3,35,10.2,0,0,5,1.5,235,68.5,4,1.2,1,0.3,2,0.6,5,1.5,,,
Burnham Park Elementary Network,610276,6950,Mollison,243,0,0,242,99.6,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610074,4850,Monroe,1113,21,1.9,21,1.9,0,0,1,0.1,1058,95.1,6,0.5,5,0.4,1,0.1,0,0,,,
Fulton Elementary Network,610075,4860,Montefiore,21,1,4.8,18,85.7,0,0,0,0,2,9.5,0,0,0,0,0,0,0,0,,,
Fulton Elementary Network,610076,4870,Moos,425,10,2.4,45,10.6,0,0,4,0.9,358,84.2,2,0.5,6,1.4,0,0,0,0,,,
Englewood-Gresham Elementary Network,610072,4830,Morgan,237,0,0,230,97,0,0,0,0,5,2.1,0,0,1,0.4,1,0.4,0,0,,,
Far South Side High School Network,609725,1490,Morgan Park HS,1571,15,1,1511,96.2,0,0,2,0.1,30,1.9,11,0.7,1,0.1,1,0.1,0,0,,,
Midway Elementary Network,610077,4880,Morrill,822,1,0.1,365,44.4,0,0,0,0,410,49.9,5,0.6,3,0.4,0,0,38,4.6,,,
Garfield-Humboldt Elementary Network,610257,6800,Morton,344,0,0,333,96.8,0,0,1,0.3,8,2.3,0,0,0,0,0,0,2,0.6,,,
Fullerton Elementary Network,610088,5000,Mozart,747,13,1.7,43,5.8,0,0,0,0,676,90.5,0,0,0,0,3,0.4,12,1.6,,,
Rock Island Elementary Network,610082,4940,Mt Greenwood,891,713,80,11,1.2,0,0,7,0.8,137,15.4,9,1,8,0.9,5,0.6,1,0.1,,,
Rock Island Elementary Network,610086,4980,Mt Vernon,290,0,0,290,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
West Side High School Network,610385,7630,Multicultural Arts HS,315,1,0.3,38,12.1,0,0,1,0.3,268,85.1,0,0,0,0,0,0,7,2.2,,,
O'Hare Elementary Network,610089,5020,Murphy,637,86,13.5,15,2.4,0,0,1,0.2,510,80.1,11,1.7,13,2,1,0.2,0,0,,,
Burnham Park Elementary Network,610090,5030,Murray Magnet,533,59,11.1,398,74.7,0,0,2,0.4,21,3.9,39,7.3,14,2.6,0,0,0,0,,,
Pershing Elementary Network,400050,7920,Namaste Charter,452,42,9.3,24,5.3,0,0,1,0.2,363,80.3,3,0.7,7,1.5,0,0,12,2.7,,,
Austin-North Lawndale Elementary Network,610092,5050,Nash,392,0,0,379,96.7,0,0,0,0,12,3.1,1,0.3,0,0,0,0,0,0,,,
Burnham Park Elementary Network,610231,6480,Natl Teachers Acad,443,0,0,425,95.9,0,0,0,0,11,2.5,2,0.5,1,0.2,0,0,4,0.9,,,
Skyway Elementary Network,610093,5060,Neil,305,0,0,300,98.4,0,0,0,0,5,1.6,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610094,5070,Nettelhorst,721,420,58.3,81,11.2,0,0,4,0.6,124,17.2,34,4.7,51,7.1,2,0.3,5,0.7,,,
Ravenswood-Ridge Elementary Network,610284,7060,New Field,693,30,4.3,152,21.9,0,0,2,0.3,440,63.5,18,2.6,48,6.9,1,0.1,2,0.3,,,
South Side High School Network,610323,7540,New Millenium HS,700,3,0.4,570,81.4,0,0,0,0,124,17.7,3,0.4,0,0,0,0,0,0,,,
Fullerton Elementary Network,610095,5080,Newberry Magnet,559,146,26.1,198,35.4,0,0,1,0.2,160,28.6,21,3.8,32,5.7,1,0.2,0,0,,,
Englewood-Gresham Elementary Network,609793,2200,Nicholson,464,0,0,461,99.4,0,0,1,0.2,1,0.2,1,0.2,0,0,0,0,0,0,,,
Midway Elementary Network,610096,5090,Nightingale,1376,11,0.8,13,0.9,0,0,1,0.1,1351,98.2,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,609961,3720,Ninos Heroes,435,1,0.2,337,77.5,0,0,2,0.5,92,21.1,1,0.2,0,0,0,0,2,0.5,,,
Fullerton Elementary Network,610097,5100,Nixon,1051,10,1,20,1.9,0,0,7,0.7,1009,96,2,0.2,2,0.2,1,0.1,0,0,,,
Lake Calumet Elementary Network,400045,2055,Nkrumah Academy,215,0,0,213,99.1,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0.5,,,
Garfield-Humboldt Elementary Network,610098,5110,Nobel,796,1,0.1,140,17.6,0,0,9,1.1,643,80.8,1,0.1,0,0,0,0,2,0.3,,,
South Side High School Network,400052,1935,Nobel St Chrt HS - Comer,710,0,0,639,90,0,0,1,0.1,37,5.2,17,2.4,0,0,0,0,16,2.3,,,
West Side High School Network,400057,1936,Nobel St ChrtHS - UIC College Prep,811,25,3.1,191,23.6,0,0,3,0.4,546,67.3,17,2.1,28,3.5,0,0,1,0.1,,,
Southwest Side High School Network,400106,8028,Noble St Chrt - Englewood HS,416,1,0.2,400,96.2,0,0,0,0,10,2.4,1,0.2,0,0,0,0,4,1,,,
West Side High School Network,400097,8078,Noble St Chrt HS - Chgo Bulls College,787,5,0.6,264,33.5,0,0,2,0.3,499,63.4,12,1.5,5,0.6,0,0,0,0,,,
West Side High School Network,400056,1933,Noble St Chrt HS - Clark,581,3,0.5,387,66.6,0,0,1,0.2,171,29.4,18,3.1,1,0.2,0,0,0,0,,,
West Side High School Network,400053,1934,Noble St Chrt HS - Golder,580,21,3.6,61,10.5,0,0,2,0.3,486,83.8,5,0.9,4,0.7,1,0.2,0,0,,,
North-Northwest Side High School Network,400054,1931,Noble St Chrt HS - Prtizker,752,5,0.7,17,2.3,0,0,3,0.4,721,95.9,2,0.3,4,0.5,0,0,0,0,,,
West Side High School Network,400055,1932,Noble St Chrt HS - Rauner,599,12,2,54,9,0,0,4,0.7,517,86.3,6,1,5,0.8,0,0,1,0.2,,,
South Side High School Network,400098,8079,Noble St Chrt HS- Muchin,708,16,2.3,241,34,1,0.1,4,0.6,379,53.5,4,0.6,34,4.8,0,0,29,4.1,,,
West Side High School Network,400051,1930,Noble St Chrt Hs -College Prep,599,13,2.2,72,12,0,0,4,0.7,502,83.8,4,0.7,4,0.7,0,0,0,0,,,
West Side High School Network,400059,1106,North Lawndale Chrt - Collins,412,0,0,407,98.8,0,0,0,0,4,1,0,0,0,0,0,0,1,0.2,,,
West Side High School Network,400058,1105,North Lawndale Chrt -Christiana,473,0,0,463,97.9,0,0,0,0,8,1.7,0,0,0,0,1,0.2,1,0.2,,,
O'Hare Elementary Network,610354,7890,North River,360,10,2.8,10,2.8,0,0,1,0.3,322,89.4,3,0.8,9,2.5,0,0,5,1.4,,,
West Side High School Network,609691,1140,North-Grand HS,883,8,0.9,48,5.4,0,0,0,0,824,93.3,1,0.1,2,0.2,0,0,0,0,,,
North-Northwest Side High School Network,609749,1740,Northside CPHS,1053,429,40.7,69,6.6,1,0.1,6,0.6,238,22.6,33,3.1,254,24.1,5,0.5,18,1.7,,,
North-Northwest Side High School Network,609744,1690,Northside Lrn Ctr HS,299,48,16.1,102,34.1,0,0,1,0.3,136,45.5,1,0.3,11,3.7,0,0,0,0,,,
Fullerton Elementary Network,610051,4600,Northwest Middle,758,13,1.7,22,2.9,0,0,5,0.7,713,94.1,1,0.1,3,0.4,0,0,1,0.1,,,
O'Hare Elementary Network,610099,5120,Norwood Park,358,244,68.2,3,0.8,0,0,4,1.1,85,23.7,14,3.9,7,2,0,0,1,0.3,,,
Fulton Elementary Network,610085,4970,Nr North SPED Ctr,91,4,4.4,56,61.5,0,0,0,0,30,33,1,1.1,0,0,0,0,0,0,,,
Skyway Elementary Network,610103,5180,O'Keeffe,574,0,0,540,94.1,0,0,0,0,4,0.7,0,0,0,0,0,0,30,5.2,,,
Englewood-Gresham Elementary Network,610108,5230,O'Toole,510,0,0,485,95.1,0,0,0,0,17,3.3,0,0,1,0.2,0,0,7,1.4,,,
Fullerton Elementary Network,610101,5150,Ogden,713,301,42.2,137,19.2,2,0.3,7,1,127,17.8,47,6.6,82,11.5,2,0.3,8,1.1,,,
West Side High School Network,610529,8083,Ogden HS,558,124,22.2,203,36.4,1,0.2,3,0.5,183,32.8,24,4.3,17,3,1,0.2,2,0.4,,,
Englewood-Gresham Elementary Network,610102,5170,Oglesby,400,0,0,399,99.8,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,610104,5190,Onahan,678,423,62.4,14,2.1,0,0,4,0.6,196,28.9,23,3.4,17,2.5,1,0.1,0,0,,,
O'Hare Elementary Network,610105,5200,Oriole Park,644,463,71.9,7,1.1,17,2.6,0,0,115,17.9,11,1.7,25,3.9,1,0.2,5,0.8,,,
Pilsen-Little Village Elementary Network,610329,7610,Orozco,636,3,0.5,6,0.9,0,0,5,0.8,622,97.8,0,0,0,0,0,0,0,0,,,
West Side High School Network,610389,1830,Orr Academy HS,823,3,0.4,699,84.9,0,0,1,0.1,90,10.9,28,3.4,0,0,0,0,2,0.2,,,
Pilsen-Little Village Elementary Network,609950,3630,Ortiz De Dominguez,781,16,2,6,0.8,0,0,1,0.1,757,96.9,0,0,1,0.1,0,0,0,0,,,
Fulton Elementary Network,610107,5220,Otis,489,18,3.7,99,20.2,0,0,4,0.8,358,73.2,8,1.6,2,0.4,0,0,0,0,,,
Burnham Park Elementary Network,610277,6960,Overton,433,0,0,374,86.4,0,0,0,0,6,1.4,0,0,0,0,0,0,53,12.2,,,
Midway Elementary Network,610109,5240,Owen Magnet,243,2,0.8,218,89.7,0,0,1,0.4,13,5.3,6,2.5,0,0,1,0.4,2,0.8,,,
Lake Calumet Elementary Network,609932,3470,Owens,342,1,0.3,339,99.1,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610273,6930,Paderewski,128,0,0,107,83.6,0,0,0,0,21,16.4,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,610111,5260,Palmer,912,294,32.2,9,1,2,0.2,8,0.9,408,44.7,16,1.8,136,14.9,37,4.1,2,0.2,,,
Skyway Elementary Network,610115,5290,Park Manor,352,0,0,350,99.4,0,0,0,0,1,0.3,0,0,1,0.3,0,0,0,0,,,
Englewood-Gresham Elementary Network,610112,5270,Parker,807,1,0.1,784,97.1,0,0,1,0.1,19,2.4,1,0.1,0,0,0,0,1,0.1,,,
Pershing Elementary Network,610114,5280,Parkman,224,1,0.4,191,85.3,0,0,0,0,29,12.9,0,0,0,0,0,0,3,1.3,,,
Skyway Elementary Network,610116,5300,Parkside,348,0,0,338,97.1,0,0,1,0.3,7,2,1,0.3,1,0.3,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,400060,6850,Passages Chrt,427,25,5.9,231,54.1,4,0.9,2,0.5,75,17.6,27,6.3,61,14.3,0,0,2,0.5,,,
Midway Elementary Network,610117,5310,Pasteur,1166,63,5.4,9,0.8,0,0,9,0.8,1061,91,9,0.8,9,0.8,2,0.2,4,0.3,,,
Southwest Side High School Network,610557,8687,Pathways to Education HS,213,2,0.9,68,31.9,0,0,0,0,139,65.3,0,0,4,1.9,0,0,0,0,,,
North-Northwest Side High School Network,609680,1090,Payton CPHS,885,302,34.1,219,24.7,2,0.2,3,0.3,220,24.9,53,6,69,7.8,2,0.2,15,1.7,,,
Fulton Elementary Network,610119,5330,Peabody,288,5,1.7,77,26.7,0,0,0,0,204,70.8,2,0.7,0,0,0,0,0,0,,,
Southwest Side High School Network,610386,1123,Peace & Education Alt HS,120,0,0,51,42.5,0,0,0,0,68,56.7,0,0,0,0,0,0,1,0.8,,,
Midway Elementary Network,610120,5340,Peck,1553,33,2.1,11,0.7,0,0,7,0.5,1494,96.2,3,0.2,5,0.3,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610122,5360,Peirce,978,141,14.4,76,7.8,1,0.1,10,1,650,66.5,40,4.1,57,5.8,1,0.1,2,0.2,,,
Austin-North Lawndale Elementary Network,610123,5370,Penn,423,0,0,345,81.6,0,0,0,0,77,18.2,1,0.2,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,609872,2930,Perez,424,1,0.2,10,2.4,0,0,0,0,408,96.2,0,0,0,0,0,0,5,1.2,,,
Burnham Park Elementary Network,610126,5400,Pershing E. Magnet,257,0,0,244,94.9,0,0,0,0,9,3.5,0,0,0,0,0,0,4,1.6,,,
Burnham Park Elementary Network,610395,2680,Pershing W. Magnet,269,2,0.7,254,94.4,0,0,1,0.4,4,1.5,5,1.9,1,0.4,0,0,2,0.7,,,
South Side High School Network,400064,1960,Perspectives Chrt  - Joslin,376,11,2.9,260,69.1,0,0,0,0,94,25,4,1.1,6,1.6,1,0.3,0,0,,,
Southwest Side High School Network,400062,1962,Perspectives Chrt - Cal Tech HS,517,0,0,512,99,0,0,0,0,3,0.6,2,0.4,0,0,0,0,0,0,,,
Southwest Side High School Network,400061,1961,Perspectives Chrt - Calumet HS,480,0,0,474,98.8,0,0,0,0,5,1,1,0.2,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,400067,1963,Perspectives Chrt - Claumet MS,380,0,0,376,98.9,0,0,0,0,1,0.3,3,0.8,0,0,0,0,0,0,,,
South Side High School Network,400066,1964,Perspectives Chrt - ITT Math/Science,571,8,1.4,528,92.5,0,0,0,0,21,3.7,12,2.1,1,0.2,0,0,1,0.2,,,
O'Hare Elementary Network,610127,5410,Peterson,856,208,24.3,42,4.9,2,0.2,8,0.9,303,35.4,23,2.7,269,31.4,0,0,1,0.1,,,
South Side High School Network,609743,7960,Phillips AA HS,67,0,0,52,77.6,0,0,0,0,14,20.9,0,0,1,1.5,0,0,0,0,,,
South Side High School Network,609727,1510,Phillips HS,593,3,0.5,571,96.3,0,0,1,0.2,12,2,0,0,2,0.3,1,0.2,3,0.5,,,
West Side High School Network,610304,7310,Phoenix Mil Acad HS,462,6,1.3,149,32.3,0,0,1,0.2,304,65.8,1,0.2,1,0.2,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610106,5210,Piccolo,541,2,0.4,345,63.8,0,0,1,0.2,189,34.9,1,0.2,0,0,0,0,3,0.6,,,
Pilsen-Little Village Elementary Network,610129,5430,Pickard,652,8,1.2,9,1.4,0,0,1,0.2,631,96.8,3,0.5,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610013,4210,Pilsen,445,2,0.4,27,6.1,0,0,3,0.7,406,91.2,3,0.7,3,0.7,0,0,1,0.2,,,
Skyway Elementary Network,610130,5440,Pirie,384,0,0,380,99,0,0,0,0,4,1,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610131,5450,Plamondon,170,0,0,33,19.4,0,0,1,0.6,133,78.2,3,1.8,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,400068,2045,Plato Learning Acad,414,1,0.2,411,99.3,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,610132,5460,Poe Classical,192,3,1.6,181,94.3,0,0,0,0,6,3.1,1,0.5,0,0,1,0.5,0,0,,,
Garfield-Humboldt Elementary Network,400069,4150,Polaris Charter Acad,336,0,0,305,90.8,0,0,0,0,29,8.6,0,0,0,0,0,0,2,0.6,,,
Austin-North Lawndale Elementary Network,610134,5480,Pope,199,0,0,180,90.5,0,0,2,1,15,7.5,1,0.5,0,0,0,0,1,0.5,,,
O'Hare Elementary Network,610135,5490,Portage Park,1123,430,38.3,29,2.6,0,0,15,1.3,601,53.5,19,1.7,24,2.1,5,0.4,0,0,,,
Skyway Elementary Network,610281,7010,Powell,520,0,0,509,97.9,0,0,0,0,8,1.5,2,0.4,1,0.2,0,0,0,0,,,
Fullerton Elementary Network,610136,5500,Prescott,239,58,24.3,39,16.3,0,0,3,1.3,124,51.9,8,3.3,7,2.9,0,0,0,0,,,
Burnham Park Elementary Network,610258,6810,Price,111,0,0,106,95.5,0,0,0,0,5,4.5,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610533,8023,Prieto,993,14,1.4,29,2.9,0,0,2,0.2,947,95.4,1,0.1,0,0,0,0,0,0,,,
Fulton Elementary Network,610229,6460,Pritzker,668,152,22.8,251,37.6,0,0,3,0.4,208,31.1,31,4.6,20,3,3,0.4,0,0,,,
Far South Side High School Network,400109,8670,Prologue Chrt - Johnston HS,206,1,0.5,203,98.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,
West Side High School Network,400070,1135,Prologue Early College HS,233,5,2.1,190,81.5,0,0,0,0,35,15,0,0,1,0.4,0,0,2,0.9,,,
North-Northwest Side High School Network,609679,1070,Prosser HS,1416,82,5.8,378,26.7,0,0,5,0.4,939,66.3,2,0.1,7,0.5,3,0.2,0,0,,,
Englewood-Gresham Elementary Network,400071,6700,Providence-Englewood Chrt,406,0,0,394,97,0,0,0,0,8,2,2,0.5,0,0,1,0.2,1,0.2,,,
O'Hare Elementary Network,610137,5510,Prussing,671,335,49.9,9,1.3,0,0,3,0.4,274,40.8,6,0.9,31,4.6,3,0.4,10,1.5,,,
Fullerton Elementary Network,610138,5520,Pulaski,860,50,5.8,16,1.9,0,0,5,0.6,770,89.5,7,0.8,5,0.6,1,0.1,6,0.7,,,
Lake Calumet Elementary Network,610139,5530,Pullman,256,1,0.4,188,73.4,0,0,0,0,66,25.8,1,0.4,0,0,0,0,0,0,,,
West Side High School Network,610334,7690,Raby HS,536,1,0.2,525,97.9,0,0,0,0,9,1.7,1,0.2,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,609941,3550,Randolph Magnet,567,0,0,554,97.7,0,0,0,0,12,2.1,1,0.2,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610141,5550,Ravenswood,461,150,32.5,53,11.5,0,0,0,0,204,44.3,14,3,10,2.2,2,0.4,28,6.1,,,
Burnham Park Elementary Network,610142,5560,Ray,653,134,20.5,323,49.5,1,0.2,3,0.5,63,9.6,46,7,79,12.1,0,0,4,0.6,,,
Burnham Park Elementary Network,610143,5580,Reavis,310,0,0,299,96.5,0,0,0,0,5,1.6,1,0.3,0,0,3,1,2,0.6,,,
Englewood-Gresham Elementary Network,610264,6870,Reed,44,0,0,44,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610144,5590,Reilly,1179,55,4.7,23,2,0,0,11,0.9,1076,91.3,6,0.5,7,0.6,0,0,1,0.1,,,
O'Hare Elementary Network,610145,5600,Reinberg,827,214,25.9,15,1.8,0,0,4,0.5,547,66.1,15,1.8,31,3.7,0,0,1,0.1,,,
Skyway Elementary Network,610146,5610,Revere,320,0,0,320,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Southwest Side High School Network,609682,1110,Richards HS,473,1,0.2,155,32.8,0,0,1,0.2,310,65.5,0,0,0,0,0,0,6,1.3,,,
North-Northwest Side High School Network,610390,7140,Rickover Naval HS,424,36,8.5,76,17.9,0,0,1,0.2,284,67,10,2.4,13,3.1,2,0.5,2,0.5,,,
Southwest Side High School Network,610374,7570,Robeson AA HS,111,0,0,110,99.1,0,0,0,0,1,0.9,0,0,0,0,0,0,0,0,,,
Southwest Side High School Network,609707,1320,Robeson HS,734,0,0,726,98.9,0,0,0,0,3,0.4,3,0.4,1,0.1,0,0,1,0.1,,,
Burnham Park Elementary Network,610256,6780,Robinson,140,0,0,139,99.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,,,
