,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
32114,2011-2012,609897,EARLE,A322,132,,A322
32115,2011-2012,609715,KELLY HS,A323,133,,A323
32116,2013-2014,609727,PHILLIPS HS,A325,133,,A325
32117,2014-2015,609705,FENGER HS,A327,133,,A327
32118,2014-2015,609727,PHILLIPS HS,A501,133,,A501
32119,2011-2012,609709,GAGE PARK HS,A502,134,,A502
32120,2012-2013,609732,STEINMETZ COLLEGE PREP HS,A602,134,,A602
32121,2013-2014,609712,HIRSCH HS,A603,134,,A603
32122,2013-2014,610305,LELAND,A604,134,,A604
32123,2010-2011,610172,SHERMAN,A119,135,,A119
32124,2010-2011,610347,CLAREMONT,A209,135,,A209
32125,2011-2012,400018,AUSTIN BUS & ENTRP HS,A211,135,,A211
32126,2011-2012,400068,PLATO CONTR,A214,135,,A214
32127,2012-2013,609756,CURIE HS,A217,135,,A217
32128,2014-2015,609676,DUNBAR HS,A219,135,,A219
32129,2014-2015,610323,BOWEN HS,A225,135,,A225
32130,2011-2012,610304,PHOENIX MILITARY HS,8,136,,300
32131,2012-2013,609730,SENN HS,A500,136,,A500
32132,2013-2014,610394,UPLIFT HS,A501,136,,A501
32133,2014-2015,610389,ORR HS,A502,137,,A502
32134,2011-2012,610144,REILLY,A503,138,,A503
32135,2011-2012,610369,"JACKSON, M",A540,138,,A540
32136,2012-2013,610279,TANNER,A600,138,,A600
32137,2010-2011,609979,HEALY,A601,139,,A601
32138,2010-2011,610150,ROSS,A602,139,,A602
32139,2011-2012,609887,DIXON,A603,139,,A603
32140,2012-2013,610389,ORR HS,A604,139,,A604
32141,2012-2013,610503,FRAZIER PROSPECTIVE,A700,139,,A700
32142,2012-2013,610506,TEAM HS,A701,139,,A701
32143,2013-2014,609692,SIMEON HS,A702,139,,A702
32144,2014-2015,609676,DUNBAR HS,A703,139,,A703
32145,2014-2015,609727,PHILLIPS HS,A704,139,,A704
32146,2012-2013,609715,KELLY HS,A705,140,,A705
32147,2012-2013,610389,ORR HS,A706,140,,A706
32148,2014-2015,609676,DUNBAR HS,A709,140,,A709
32149,2010-2011,609873,CROWN,A760,141,,A760
32150,2010-2011,610223,WENTWORTH,A761,141,,A761
32151,2010-2011,609975,HAY,A800,142,,A800
32152,2010-2011,610239,DALEY,A801,142,,A801
32153,2012-2013,609693,GEORGE WESTINGHOUSE HS,A802,142,,A802
32154,2012-2013,609698,BOGAN HS,A803,142,,A803
32155,2012-2013,609736,DYETT HS,A804,142,,A804
32156,2013-2014,610103,O'KEEFFE,A805,142,,A805
32157,2014-2015,610323,BOWEN HS,A806,142,,A806
32158,2010-2011,609735,TILDEN HS,A807,143,,A807
32159,2011-2012,609754,CHGO MILITARY ACAD HS,A808,143,,A808
32160,2012-2013,400018,AUSTIN BUS & ENTRP HS,8,143,,802
32161,2012-2013,610390,RICKOVER HS,A501,143,,A501
32162,2013-2014,609730,SENN HS,A502,143,,A502
32163,2010-2011,610375,TILDEN AA HS,A601,144,,A601
32164,2013-2014,610037,LIBBY,A602,144,,A602
32165,2013-2014,610065,TILL,A603,144,,A603
32166,2013-2014,610116,PARKSIDE,A701,144,,A701
32167,2011-2012,610529,OGDEN HS,A702,145,,A702
32168,2010-2011,610340,CHGO ACAD HS,A703,146,,A703
32169,2012-2013,609708,FOREMAN HS,A801,146,,A801
32170,2014-2015,610394,UPLIFT HS,A802,146,,A802
32171,2010-2011,610210,VON HUMBOLDT,A803,147,,A803
32172,2011-2012,400018,AUSTIN BUS & ENTRP HS,A200,148,,A200
32173,2012-2013,609730,SENN HS,A202,149,,A202
32174,2014-2015,610323,BOWEN HS,A206,149,,A206
32175,2010-2011,609775,ALTGELD,A209,150,,A209
32176,2011-2012,400018,AUSTIN BUS & ENTRP HS,A305,150,,A305
32177,2012-2013,400018,AUSTIN BUS & ENTRP HS,A306,150,,A306
32178,2012-2013,610389,ORR HS,A307,150,,A307
32179,2013-2014,609730,SENN HS,A309,150,,A309
32180,2013-2014,609991,HERZL,A212,150,,A212
32181,2013-2014,610067,MCKAY,A503,150,,A503
32182,2014-2015,610323,BOWEN HS,A504,150,,A504
32183,2014-2015,610323,BOWEN HS,A505,150,,A505
32184,2010-2011,609756,CURIE HS,A506,152,,A506
32185,2010-2011,609695,AMUNDSEN HS,A601,153,,A601
32186,2012-2013,609862,COLES,A602,153,,A602
32187,2012-2013,610246,BEASLEY,A603,153,,A603
32188,2013-2014,609941,RANDOLPH,A604,153,,A604
32189,2010-2011,609927,FOSTER PARK,A605,154,,A605
32190,2014-2015,609676,DUNBAR HS,A606,154,,A606
32191,2014-2015,610389,ORR HS,A701,154,,A701
32192,2010-2011,610307,BOWEN HS,A702,155,,A702
32193,2012-2013,609775,ALTGELD,A703,155,,A703
32194,2013-2014,609900,CURTIS,A704,155,,A704
32195,2010-2011,610183,SPENCER,A705,156,,A705
32196,2011-2012,610202,TILTON,A706,156,,A706
32197,2012-2013,610347,CLAREMONT,A801,156,,A801
32198,2012-2013,610389,ORR HS,A802,156,,A802
32199,2013-2014,609715,KELLY HS,A803,156,,A803
32200,2014-2015,400018,AUSTIN BUS & ENTRP HS,A804,156,,A804
32201,2011-2012,609708,FOREMAN HS,A805,157,,A805
32202,2010-2011,609724,MATHER HS,A806,158,,A806
32203,2010-2011,610065,TILL,A807,158,,A807
32204,2011-2012,610266,DUMAS TECH ACAD,,158,,
32205,2013-2014,610238,BOND,A500,158,,A500
32206,2014-2015,609705,FENGER HS,A501,158,,A501
32207,2012-2013,609736,DYETT HS,A502,159,,A502
32208,2014-2015,610389,ORR HS,A503,159,,A503
32209,2010-2011,610342,SABIN,A504,160,,A504
32210,2011-2012,610244,CLARK HS,A505,160,,A505
32211,2012-2013,609873,CROWN,A600,160,,A600
32212,2014-2015,609692,SIMEON HS,A601,160,,A601
32213,2010-2011,610313,DIEGO,A602,162,,A602
32214,2012-2013,609730,SENN HS,A603,162,,A603
32215,2012-2013,610106,PICCOLO,A604,162,,A604
32216,2012-2013,610339,STAGG,A605,162,,A605
32217,2010-2011,609732,STEINMETZ  HS,A700,163,,A700
32218,2012-2013,400018,AUSTIN BUS & ENTRP HS,A701,163,,A701
32219,2012-2013,609790,BARTON,A702,163,,A702
32220,2012-2013,610268,ASHE,A703,163,,A703
32221,2014-2015,609692,SIMEON HS,A704,163,,A704
32222,2010-2011,609916,FERMI,A800,164,,A800
32223,2010-2011,610258,PRICE,A801,165,,A801
32224,2012-2013,609736,DYETT HS,A802,165,,A802
32225,2013-2014,610052,MANN,A803,165,,A803
32226,2014-2015,609730,SENN HS,A804,165,,A804
32227,2010-2011,609736,DYETT HS,A805,166,,A805
32228,2011-2012,610268,ASHE,A305,166,,A305
32229,2014-2015,610518,VOISE HS,A501,166,,A501
32230,2010-2011,609732,STEINMETZ  HS,A502,167,,A502
32231,2010-2011,609941,RANDOLPH,A503,167,,A503
32232,2012-2013,610529,OGDEN HS,A504,167,,A504
32233,2013-2014,609723,MARSHALL HS,A601,167,,A601
32234,2013-2014,609928,FULLER,A602,167,,A602
32235,2014-2015,610518,VOISE HS,A603,167,,A603
32236,2010-2011,609740,WELLS HS,A604,168,,A604
32237,2012-2013,400018,AUSTIN BUS & ENTRP HS,A606,168,,A606
32238,2013-2014,609727,PHILLIPS HS,A701,168,,A701
32239,2010-2011,609761,CORLISS HS,A702,171,,A702
32240,2010-2011,609978,SMITH,A703,171,,A703
32241,2011-2012,400018,AUSTIN BUS & ENTRP HS,A704,171,,A704
32242,2012-2013,609885,DEWEY,A706,171,,A706
32243,2012-2013,609968,MCAULIFFE,A801,171,,A801
32244,2014-2015,609676,DUNBAR HS,A802,171,,A802
32245,2014-2015,610518,VOISE HS,A803,171,,A803
32246,2010-2011,610244,CLARK HS,,173,,
32247,2011-2012,610297,SCHOOL OF LEADRSHP HS,A202,173,,A202
32248,2012-2013,610513,AIR FORCE HS,A210,173,,A210
32249,2010-2011,609987,HENDRICKS,A211,174,,A211
32250,2011-2012,610501,AUSTIN POLY HS,A212,175,,A212
32251,2014-2015,609676,DUNBAR HS,A214,175,,A214
32252,2010-2011,609815,BOUCHET,A215,176,,A215
32253,2010-2011,610377,SENN AA HS,A216,176,,A216
32254,2012-2013,610053,MARQUETTE,A221,176,,A221
32255,2011-2012,400018,AUSTIN BUS & ENTRP HS,A223,177,,A223
32256,2012-2013,609730,SENN HS,A204,177,,A204
32257,2013-2014,609943,GOMPERS,A210,177,,A210
32258,2013-2014,610263,DULLES,A302,177,,A302
32259,2010-2011,609718,KENNEDY HS,A311,178,,A311
32260,2010-2011,609883,DENEEN,A317,178,,A317
32261,2011-2012,609675,CHICAGO AA HS,A325,178,,A325
32262,2012-2013,609800,BENNETT,A228,178,,A228
32263,2011-2012,609805,JOPLIN,A501,179,,A501
32264,2011-2012,610524,ALCOTT HS,A502,179,,A502
32265,2012-2013,610240,HENSON,A503,179,,A503
32266,2013-2014,609761,CORLISS HS,A601,179,,A601
32267,2013-2014,609835,CAMERON,A602,179,,A602
32268,2010-2011,610279,TANNER,A604,180,,A604
32269,2013-2014,609730,SENN HS,A701,180,,A701
32270,2014-2015,610323,BOWEN HS,A702,180,,A702
32271,2013-2014,610518,VOISE HS,A703,182,,A703
32272,2014-2015,610389,ORR HS,A704,182,,A704
32273,2014-2015,610389,ORR HS,A801,182,,A801
32274,2010-2011,609786,AVALON PARK,A802,183,,A802
32275,2010-2011,610345,WOODSON,A803,183,,A803
32276,2013-2014,609708,FOREMAN HS,A804,183,,A804
32277,2013-2014,609725,MORGAN PARK HS,A875,183,,A875
32278,2014-2015,610323,BOWEN HS,A003,184,,A003
32279,2011-2012,609706,FENGER AA HS,A004,185,,A004
32280,2011-2012,610378,CRANE AA,A501,185,,A501
32281,2014-2015,609705,FENGER HS,A502,185,,A502
32282,2011-2012,610321,"MARSHALL, T",A505,187,,A505
32283,2013-2014,609718,KENNEDY HS,A601,187,,A601
32284,2010-2011,610282,MCNAIR,A603,190,,A603
32285,2014-2015,609732,STEINMETZ COLLEGE PREP HS,A701,192,,A701
32286,2014-2015,610323,BOWEN HS,A702,194,,A702
32287,2010-2011,610257,MORTON,A704,197,,A704
32288,2010-2011,609819,BURKE,A902,198,,A902
32289,2011-2012,610342,SABIN,A904,198,,A904
32290,2012-2013,609730,SENN HS,A118,198,,A118
32291,2010-2011,609887,DIXON,A120,200,,A120
32292,2010-2011,610003,CUFFE,A223,201,,A223
32293,2013-2014,610339,STAGG,A122,201,,A122
32294,2014-2015,610323,BOWEN HS,A125,201,,A125
32295,2014-2015,610323,BOWEN HS,A200,202,,A200
32296,2011-2012,609713,HYDE PARK HS,A201,203,,A201
32297,2013-2014,610003,CUFFE,A215,203,,A215
32298,2014-2015,610389,ORR HS,A224,203,,A224
32299,2012-2013,609736,DYETT HS,A226,204,,A226
32300,2010-2011,610174,SHIELDS,A319,205,,A319
32301,2012-2013,609739,WASHINGTON HS,A324,205,,A324
32302,2010-2011,610202,TILTON,A314,206,,A314
32303,2010-2011,610518,VOISE HS,A316,206,,A316
32304,2012-2013,610058,MAY,A319,208,,A319
32305,2011-2012,610067,MCKAY,A320,209,,A320
32306,2010-2011,609682,RICHARDS HS,A323,211,,A323
32307,2012-2013,610224,WEST PULLMAN,A325,211,,A325
32308,2013-2014,610202,TILTON,A401,213,,A401
32309,2011-2012,609768,HOPE HS,A403,215,,A403
32310,2014-2015,610389,ORR HS,A404,215,,A404
32311,2011-2012,609707,ROBESON HS,A405,217,,A405
32312,2011-2012,609740,WELLS HS,A406,218,,A406
32313,2012-2013,609711,HARPER HS,A407,218,,A407
32314,2010-2011,610521,"DAVIS, M",A408,219,,A408
32315,2012-2013,610233,YALE,A207,219,,A207
32316,2011-2012,610521,"DAVIS, M",A209,220,,A209
32317,2012-2013,609729,SCHURZ HS,A212,220,,A212
32318,2012-2013,609891,DOOLITTLE,A305,221,,A305
32319,2011-2012,609786,AVALON PARK,A308,222,,A308
32320,2014-2015,610323,BOWEN HS,A214,224,,A214
32321,2010-2011,609716,KELVYN PARK HS,A216,225,,A216
32322,2010-2011,610154,RYERSON,A227,225,,A227
32323,2013-2014,609756,CURIE HS,A309,225,,A309
32324,2013-2014,610183,SPENCER TECH ACAD,A312,225,,A312
32325,2013-2014,609844,CARTER,A314,227,,A314
32326,2011-2012,609722,MANLEY HS,A316,228,,A316
32327,2012-2013,609991,HERZL,A319,228,,A319
32328,2013-2014,610245,DOUGLASS HS,A325,229,,A325
32329,2012-2013,610345,WOODSON,8,231,,310
32330,2012-2013,610263,DULLES,8,233,,312
32331,2013-2014,609739,WASHINGTON HS,8,233,,316
32332,2011-2012,609941,RANDOLPH,8,235,,317
32333,2010-2011,609738,LINCOLN PARK HS,8,236,,323
32334,2010-2011,609986,HENDERSON,A502,238,,A502
32335,2010-2011,400018,AUSTIN BUS & ENTRP CONTR HS,A503,240,,A503
32336,2011-2012,609735,TILDEN HS,A507,240,,A507
32337,2010-2011,610321,"MARSHALL, T",A509,241,,A509
32338,2011-2012,610065,TILL,A512,241,,A512
32339,2012-2013,609741,HUBBARD HS,A601,241,,A601
32340,2014-2015,610389,ORR HS,A602,241,,A602
32341,2011-2012,610340,CHGO ACAD HS,A603,242,,A603
32342,2011-2012,609702,CRANE HS,A605,244,,A605
32343,2011-2012,610282,MCNAIR,A607,244,,A607
32344,2012-2013,400018,AUSTIN BUS & ENTRP HS,A608,245,,A608
32345,2012-2013,400018,AUSTIN BUS & ENTRP HS,A609,246,,A609
32346,2012-2013,609835,CAMERON,A611,248,,A611
32347,2012-2013,609702,CRANE HS,A612,249,,A612
32348,2013-2014,610112,PARKER,A701,249,,A701
32349,2010-2011,609730,SENN HS,A703,250,,A703
32350,2011-2012,610499,COLLINS HS,A704,251,,A704
32351,2010-2011,609708,FOREMAN HS,A705,253,,A705
32352,2012-2013,610282,MCNAIR,A707,253,,A707
32353,2012-2013,609704,FARRAGUT HS,A708,255,,A708
32354,2012-2013,609724,MATHER HS,A709,256,,A709
32355,2013-2014,609709,GAGE PARK HS,A710,256,,A710
32356,2012-2013,609716,KELVYN PARK HS,A801,257,,A801
32357,2010-2011,400040,FRAZIER CONTR,A802,258,,A802
32358,2011-2012,609734,TAFT HS,A803,258,,A803
32359,2013-2014,610313,DIEGO,A804,258,,A804
32360,2012-2013,610334,RABY HS,A805,261,,A805
32361,2011-2012,609746,KENWOOD HS,A806,264,,A806
32362,2011-2012,609835,CAMERON,A807,264,,A807
32363,2014-2015,610323,BOWEN HS,A808,265,,A808
32364,2014-2015,609730,SENN HS,A809,266,,A809
32365,2012-2013,609709,GAGE PARK HS,A811,267,,A811
32366,2012-2013,400091,CHICAGO TECH ACADEMY,A812,270,,A812
