,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
2217,2011-2012,610065,TILL,A202,*,,A202
2218,2011-2012,610065,TILL,A203,*,,A203
2219,2011-2012,610065,TILL,A204,*,,A204
2220,2011-2012,610066,MCDADE,A205,*,,A205
2221,2011-2012,610067,MCKAY,A250,*,,A250
2222,2011-2012,610067,MCKAY,A301,*,,A301
2223,2011-2012,610067,MCKAY,A302,*,,A302
2224,2011-2012,610067,MCKAY,A303,*,,A303
2225,2011-2012,610068,HANSON PARK,A304,*,,A304
2226,2011-2012,610068,HANSON PARK,A305,*,,A305
2227,2011-2012,610070,MCPHERSON,A312,*,,A312
2228,2011-2012,610070,MCPHERSON,A401,*,,A401
2229,2011-2012,610070,MCPHERSON,A402,*,,A402
2230,2011-2012,610070,MCPHERSON,A403,*,,A403
2231,2011-2012,610070,MCPHERSON,A404,*,,A404
2232,2011-2012,610070,MCPHERSON,A405,*,,A405
2233,2011-2012,610072,MORGAN,A410,*,,A410
2234,2011-2012,610073,MITCHELL,,*,,
2235,2011-2012,610073,MITCHELL,A101,*,,A101
2236,2011-2012,610074,MONROE,A102,*,,A102
2237,2011-2012,610074,MONROE,A103,*,,A103
2238,2011-2012,610074,MONROE,A201,*,,A201
2239,2011-2012,610076,MOOS,A202,*,,A202
2240,2011-2012,610076,MOOS,A203,*,,A203
2241,2011-2012,610076,MOOS,A204,*,,A204
2242,2011-2012,610077,MORRILL,A280,*,,A280
2243,2011-2012,610077,MORRILL,A301,*,,A301
2244,2011-2012,610077,MORRILL,A302,*,,A302
2245,2011-2012,610077,MORRILL,A303,*,,A303
2246,2011-2012,610077,MORRILL,A304,*,,A304
2247,2011-2012,610077,MORRILL,A305,*,,A305
2248,2011-2012,610077,MORRILL,A380,*,,A380
2249,2011-2012,610077,MORRILL,A401,*,,A401
2250,2011-2012,610077,MORRILL,A402,*,,A402
2251,2011-2012,610078,INTER-AMERICAN,A403,*,,A403
2252,2011-2012,610078,INTER-AMERICAN,A404,*,,A404
2253,2011-2012,610078,INTER-AMERICAN,A405,*,,A405
2254,2011-2012,610078,INTER-AMERICAN,A406,*,,A406
2255,2011-2012,610078,INTER-AMERICAN,A407,*,,A407
2256,2011-2012,610078,INTER-AMERICAN,A480,*,,A480
2257,2011-2012,610078,INTER-AMERICAN,,*,,
2258,2011-2012,610082,MOUNT GREENWOOD,A113,*,,A113
2259,2011-2012,610082,MOUNT GREENWOOD,A121,*,,A121
2260,2011-2012,610084,KELLER,A122,*,,A122
2261,2011-2012,610085,NEAR NORTH,A124,*,,A124
2262,2011-2012,610085,NEAR NORTH,A133,*,,A133
2263,2011-2012,610085,NEAR NORTH,A134,*,,A134
2264,2011-2012,610086,MOUNT VERNON,A135,*,,A135
2265,2011-2012,610089,MURPHY,A141,*,,A141
2266,2011-2012,610089,MURPHY,A142,*,,A142
2267,2011-2012,610089,MURPHY,A143,*,,A143
2268,2011-2012,610090,MURRAY,A213,*,,A213
2269,2011-2012,610090,MURRAY,A214,*,,A214
2270,2011-2012,610091,"BROWN, R",A221,*,,A221
2271,2011-2012,610092,NASH,A223,*,,A223
2272,2011-2012,610092,NASH,A224,*,,A224
2273,2011-2012,610093,NEIL,A231,*,,A231
2274,2011-2012,610093,NEIL,A234,*,,A234
2275,2011-2012,610096,NIGHTINGALE,A242,*,,A242
2276,2011-2012,610096,NIGHTINGALE,A243,*,,A243
2277,2011-2012,610096,NIGHTINGALE,A244,*,,A244
2278,2011-2012,610097,NIXON,A312,*,,A312
2279,2011-2012,610097,NIXON,A313,*,,A313
2280,2011-2012,610097,NIXON,A321,*,,A321
2281,2011-2012,610097,NIXON,A325,*,,A325
2282,2011-2012,610097,NIXON,A331,*,,A331
2283,2011-2012,610097,NIXON,A332,*,,A332
2284,2011-2012,610098,NOBEL,A333,*,,A333
2285,2011-2012,610098,NOBEL,A334,*,,A334
2286,2011-2012,610099,NORWOOD PARK,A341,*,,A341
2287,2011-2012,610099,NORWOOD PARK,A343,*,,A343
2288,2011-2012,610101,OGDEN,A432,*,,A432
2289,2011-2012,610101,OGDEN,A433,*,,A433
2290,2011-2012,610101,OGDEN,A442,*,,A442
2291,2011-2012,610102,OGLESBY,A443,*,,A443
2292,2011-2012,610102,OGLESBY,A541,*,,A541
2293,2011-2012,610102,OGLESBY,,*,,
2294,2011-2012,610103,O'KEEFFE,A102,*,,A102
2295,2011-2012,610103,O'KEEFFE,A103,*,,A103
2296,2011-2012,610105,ORIOLE PARK,A104,*,,A104
2297,2011-2012,610106,PICCOLO,A105,*,,A105
2298,2011-2012,610106,PICCOLO,A106,*,,A106
2299,2011-2012,610106,PICCOLO,A107,*,,A107
2300,2011-2012,610106,PICCOLO,A108,*,,A108
2301,2011-2012,610106,PICCOLO,A110,*,,A110
2302,2011-2012,610107,OTIS,A111,*,,A111
2303,2011-2012,610107,OTIS,A112,*,,A112
2304,2011-2012,610108,O'TOOLE,A113,*,,A113
2305,2011-2012,610108,O'TOOLE,A114,*,,A114
2306,2011-2012,610109,OWEN,A115,*,,A115
2307,2011-2012,610109,OWEN,A116,*,,A116
2308,2011-2012,610110,"WELLS, I",A122,*,,A122
2309,2011-2012,610111,PALMER,A123,*,,A123
2310,2011-2012,610111,PALMER,A125,*,,A125
2311,2011-2012,610111,PALMER,A129,*,,A129
2312,2011-2012,610111,PALMER,A130,*,,A130
2313,2011-2012,610111,PALMER,A131,*,,A131
2314,2011-2012,610112,PARKER,A132,*,,A132
2315,2011-2012,610112,PARKER,A133,*,,A133
2316,2011-2012,610112,PARKER,A134,*,,A134
2317,2011-2012,610112,PARKER,A135,*,,A135
2318,2011-2012,610112,PARKER,A136,*,,A136
2319,2011-2012,610112,PARKER,A137,*,,A137
2320,2011-2012,610112,PARKER,A141,*,,A141
2321,2011-2012,610112,PARKER,A142,*,,A142
2322,2011-2012,610117,PASTEUR,A201,*,,A201
2323,2011-2012,610117,PASTEUR,A202,*,,A202
2324,2011-2012,610117,PASTEUR,A203,*,,A203
2325,2011-2012,610117,PASTEUR,A204,*,,A204
2326,2011-2012,610117,PASTEUR,A205,*,,A205
2327,2011-2012,610121,IRVING,A206,*,,A206
2328,2011-2012,610121,IRVING,A207,*,,A207
2329,2011-2012,610121,IRVING,A208,*,,A208
2330,2011-2012,610121,IRVING,A209,*,,A209
2331,2011-2012,610121,IRVING,A210,*,,A210
2332,2011-2012,610121,IRVING,A211,*,,A211
2333,2011-2012,610122,PEIRCE,A212,*,,A212
2334,2011-2012,610122,PEIRCE,A213,*,,A213
2335,2011-2012,610123,PENN,A214,*,,A214
2336,2011-2012,610124,"WASHINGTON, H",A215,*,,A215
2337,2011-2012,610124,"WASHINGTON, H",A216,*,,A216
2338,2011-2012,610124,"WASHINGTON, H",A222,*,,A222
2339,2011-2012,610124,"WASHINGTON, H",A223,*,,A223
2340,2011-2012,610124,"WASHINGTON, H",A224,*,,A224
2341,2011-2012,610124,"WASHINGTON, H",A225,*,,A225
2342,2011-2012,610125,RUIZ,A226,*,,A226
2343,2011-2012,610125,RUIZ,A227,*,,A227
2344,2011-2012,610127,PETERSON,A228,*,,A228
2345,2011-2012,610127,PETERSON,A229,*,,A229
2346,2011-2012,610127,PETERSON,A231,*,,A231
2347,2011-2012,610128,GARVEY,A233,*,,A233
2348,2011-2012,610128,GARVEY,A234,*,,A234
2349,2011-2012,610129,PICKARD,A235,*,,A235
2350,2011-2012,610129,PICKARD,A236,*,,A236
2351,2011-2012,610130,PIRIE,A241,*,,A241
2352,2011-2012,610130,PIRIE,A242,*,,A242
2353,2011-2012,610130,PIRIE,A243,*,,A243
2354,2011-2012,610131,PLAMONDON,A244,*,,A244
2355,2011-2012,610132,POE,A302,*,,A302
2356,2011-2012,610132,POE,A303,*,,A303
2357,2011-2012,610133,"WARD, L",A304,*,,A304
2358,2011-2012,610133,"WARD, L",A305,*,,A305
2359,2011-2012,610133,"WARD, L",A306,*,,A306
2360,2011-2012,610133,"WARD, L",A307,*,,A307
2361,2011-2012,610133,"WARD, L",A308,*,,A308
2362,2011-2012,610134,POPE,A309,*,,A309
2363,2011-2012,610135,PORTAGE PARK,A310,*,,A310
2364,2011-2012,610135,PORTAGE PARK,A311,*,,A311
2365,2011-2012,610137,PRUSSING,A312,*,,A312
2366,2011-2012,610137,PRUSSING,A313,*,,A313
2367,2011-2012,610137,PRUSSING,A314,*,,A314
2368,2011-2012,610138,PULASKI,A315,*,,A315
2369,2011-2012,610138,PULASKI,A321,*,,A321
2370,2011-2012,610138,PULASKI,A322,*,,A322
2371,2011-2012,610138,PULASKI,A323,*,,A323
2372,2011-2012,610139,PULLMAN,A324,*,,A324
2373,2011-2012,610141,RAVENSWOOD,A325,*,,A325
2374,2011-2012,610141,RAVENSWOOD,A326,*,,A326
2375,2011-2012,610142,RAY,A327,*,,A327
2376,2011-2012,610142,RAY,A328,*,,A328
2377,2011-2012,610143,REAVIS,A330,*,,A330
2378,2011-2012,610144,REILLY,A331,*,,A331
2379,2011-2012,610144,REILLY,A332,*,,A332
2380,2011-2012,610144,REILLY,A341,*,,A341
2381,2011-2012,610145,REINBERG,A342,*,,A342
2382,2011-2012,610145,REINBERG,A343,*,,A343
2383,2011-2012,610145,REINBERG,A344,*,,A344
2384,2011-2012,610145,REINBERG,A402,*,,A402
2385,2011-2012,610146,REVERE,A404,*,,A404
2386,2011-2012,610146,REVERE,A405,*,,A405
2387,2011-2012,610147,ROGERS,A406,*,,A406
2388,2011-2012,610147,ROGERS,A407,*,,A407
2389,2011-2012,610147,ROGERS,A408,*,,A408
2390,2011-2012,610147,ROGERS,A409,*,,A409
2391,2011-2012,610148,CHAVEZ,A422,*,,A422
2392,2011-2012,610148,CHAVEZ,A423,*,,A423
2393,2011-2012,610148,CHAVEZ,A424,*,,A424
2394,2011-2012,610148,CHAVEZ,A426,*,,A426
2395,2011-2012,610148,CHAVEZ,A427,*,,A427
2396,2011-2012,610148,CHAVEZ,A428,*,,A428
2397,2011-2012,610150,ROSS,A429,*,,A429
2398,2011-2012,610152,RUGGLES,A430,*,,A430
2399,2011-2012,610153,RYDER,A431,*,,A431
2400,2011-2012,610154,RYERSON,A432,*,,A432
2401,2011-2012,610155,SAUGANASH,A441,*,,A441
2402,2011-2012,610155,SAUGANASH,A442,*,,A442
2403,2011-2012,610156,"ARMSTRONG, L",A443,*,,A443
2404,2011-2012,610157,SAWYER,A444,*,,A444
2405,2011-2012,610157,SAWYER,,*,,
2406,2011-2012,610157,SAWYER,A001,*,,A001
2407,2011-2012,610157,SAWYER,A106 JD,*,,A106 JD
2408,2011-2012,610159,SCAMMON,A108 MD,*,,A108 MD
2409,2011-2012,610159,SCAMMON,A115 JD,*,,A115 JD
2410,2011-2012,610160,SONGHAI,A128 JC,*,,A128 JC
2411,2011-2012,610160,SONGHAI,A130 MS,*,,A130 MS
2412,2011-2012,610165,SCHUBERT,A131 MS,*,,A131 MS
2413,2011-2012,610167,SEWARD,A132 MS,*,,A132 MS
2414,2011-2012,610170,COLUMBIA EXPLORERS,A134 JC,*,,A134 JC
2415,2011-2012,610170,COLUMBIA EXPLORERS,A135 JC,*,,A135 JC
2416,2011-2012,610170,COLUMBIA EXPLORERS,A140 MS,*,,A140 MS
2417,2011-2012,610170,COLUMBIA EXPLORERS,A141 MS,*,,A141 MS
2418,2011-2012,610170,COLUMBIA EXPLORERS,A145 JC,*,,A145 JC
2419,2011-2012,610170,COLUMBIA EXPLORERS,A207 JD,*,,A207 JD
2420,2011-2012,610170,COLUMBIA EXPLORERS,A208 JD,*,,A208 JD
2421,2011-2012,610171,MIRELES,A210 JD,*,,A210 JD
2422,2011-2012,610171,MIRELES,A211,*,,A211
2423,2011-2012,610171,MIRELES,A228 JB,*,,A228 JB
2424,2011-2012,610171,MIRELES,A231 MS,*,,A231 MS
2425,2011-2012,610171,MIRELES,A232 MS,*,,A232 MS
2426,2011-2012,610172,SHERMAN,A233 MS,*,,A233 MS
2427,2011-2012,610172,SHERMAN,A235 JC,*,,A235 JC
2428,2011-2012,610173,SHERWOOD,A237 JC,*,,A237 JC
2429,2011-2012,610173,SHERWOOD,A239 MS,*,,A239 MS
2430,2011-2012,610173,SHERWOOD,A240 MS,*,,A240 MS
2431,2011-2012,610173,SHERWOOD,A244 JC,*,,A244 JC
2432,2011-2012,610174,SHIELDS,A245 JC,*,,A245 JC
2433,2011-2012,610174,SHIELDS,A305 MD,*,,A305 MD
2434,2011-2012,610174,SHIELDS,A306 JD,*,,A306 JD
2435,2011-2012,610174,SHIELDS,A307 JD,*,,A307 JD
2436,2011-2012,610174,SHIELDS,A308 JD,*,,A308 JD
2437,2011-2012,610174,SHIELDS,A310 MD,*,,A310 MD
2438,2011-2012,610175,SHOESMITH,A311 MD,*,,A311 MD
2439,2011-2012,610175,SHOESMITH,A331 MS,*,,A331 MS
2440,2011-2012,610175,SHOESMITH,A332 MS,*,,A332 MS
2441,2011-2012,610175,SHOESMITH,A334 JC,*,,A334 JC
2442,2011-2012,610176,SHOOP,A335 JC,*,,A335 JC
2443,2011-2012,610179,SMYSER,A336 JC,*,,A336 JC
2444,2011-2012,610179,SMYSER,A340 MS,*,,A340 MS
2445,2011-2012,610182,SOLOMON,A341 MS,*,,A341 MS
2446,2011-2012,610182,SOLOMON,A346 JC,*,,A346 JC
2447,2011-2012,610183,SPENCER TECH ACAD,A405 MD,*,,A405 MD
2448,2011-2012,610183,SPENCER TECH ACAD,A406 MD,*,,A406 MD
2449,2011-2012,610183,SPENCER TECH ACAD,A408 JD,*,,A408 JD
2450,2011-2012,610184,SPRY,A409 JD,*,,A409 JD
2451,2011-2012,610184,SPRY,A410 JD,*,,A410 JD
2452,2011-2012,610184,SPRY,A413 MD,*,,A413 MD
2453,2011-2012,610184,SPRY,,*,,
2454,2011-2012,610184,SPRY,A101,*,,A101
2455,2011-2012,610184,SPRY,A102,*,,A102
2456,2011-2012,610185,STEVENSON,A104,*,,A104
2457,2011-2012,610185,STEVENSON,A105,*,,A105
2458,2011-2012,610185,STEVENSON,A203,*,,A203
2459,2011-2012,610185,STEVENSON,A204,*,,A204
2460,2011-2012,610187,STEWART,A206,*,,A206
2461,2011-2012,610187,STEWART,A207,*,,A207
2462,2011-2012,610188,DUNNE TECH ACAD,A301,*,,A301
2463,2011-2012,610188,DUNNE TECH ACAD,A302,*,,A302
2464,2011-2012,610188,DUNNE TECH ACAD,A303,*,,A303
2465,2011-2012,610189,STOCKTON,A304,*,,A304
2466,2011-2012,610189,STOCKTON,A305,*,,A305
2467,2011-2012,610191,STONE,A306,*,,A306
2468,2011-2012,610191,STONE,,*,,
2469,2011-2012,610191,STONE,A110,*,,A110
2470,2011-2012,610191,STONE,A111,*,,A111
2471,2011-2012,610191,STONE,A112,*,,A112
2472,2011-2012,610191,STONE,A117,*,,A117
2473,2011-2012,610192,STOWE,A119,*,,A119
2474,2011-2012,610192,STOWE,A120,*,,A120
2475,2011-2012,610192,STOWE,A210,*,,A210
2476,2011-2012,610192,STOWE,A211,*,,A211
2477,2011-2012,610192,STOWE,A212,*,,A212
2478,2011-2012,610193,NEW SULLIVAN,A213,*,,A213
2479,2011-2012,610193,NEW SULLIVAN,A219,*,,A219
2480,2011-2012,610194,SUMNER,A220,*,,A220
2481,2011-2012,610195,SUTHERLAND,A310,*,,A310
2482,2011-2012,610195,SUTHERLAND,A311,*,,A311
2483,2011-2012,610195,SUTHERLAND,A312,*,,A312
2484,2011-2012,610195,SUTHERLAND,A313,*,,A313
2485,2011-2012,610195,SUTHERLAND,A314,*,,A314
2486,2011-2012,610196,SWIFT,A315,*,,A315
2487,2011-2012,610196,SWIFT,A316,*,,A316
2488,2011-2012,610196,SWIFT,A330,*,,A330
2489,2011-2012,610196,SWIFT,A331,*,,A331
2490,2011-2012,610196,SWIFT,A410,*,,A410
2491,2011-2012,610196,SWIFT,A411,*,,A411
2492,2011-2012,610196,SWIFT,A413,*,,A413
2493,2011-2012,610198,TAYLOR,A414,*,,A414
2494,2011-2012,610198,TAYLOR,A415,*,,A415
2495,2011-2012,610198,TAYLOR,A416,*,,A416
2496,2011-2012,610198,TAYLOR,A417,*,,A417
2497,2011-2012,610199,COLEMON,,*,,
2498,2011-2012,610201,"THORP, O",A110,*,,A110
2499,2011-2012,610201,"THORP, O",A111,*,,A111
2500,2011-2012,610203,TONTI,A113,*,,A113
2501,2011-2012,610203,TONTI,A115,*,,A115
2502,2011-2012,610203,TONTI,A120,*,,A120
2503,2011-2012,610203,TONTI,A122,*,,A122
2504,2011-2012,610203,TONTI,A124,*,,A124
2505,2011-2012,610203,TONTI,A130,*,,A130
2506,2011-2012,610203,TONTI,A132,*,,A132
2507,2011-2012,610203,TONTI,A136,*,,A136
2508,2011-2012,610203,TONTI,A170,*,,A170
2509,2011-2012,610205,TRUMBULL,A210,*,,A210
2510,2011-2012,610205,TRUMBULL,A211,*,,A211
2511,2011-2012,610205,TRUMBULL,A214,*,,A214
2512,2011-2012,610205,TRUMBULL,A215,*,,A215
2513,2011-2012,610206,TWAIN,A220,*,,A220
2514,2011-2012,610206,TWAIN,A221,*,,A221
2515,2011-2012,610206,TWAIN,A222,*,,A222
2516,2011-2012,610206,TWAIN,A223,*,,A223
2517,2011-2012,610206,TWAIN,A228,*,,A228
2518,2011-2012,610206,TWAIN,A230,*,,A230
2519,2011-2012,610208,LAVIZZO,A232,*,,A232
2520,2011-2012,610209,VOLTA,A234,*,,A234
2521,2011-2012,610209,VOLTA,A235,*,,A235
2522,2011-2012,610209,VOLTA,A310,*,,A310
2523,2011-2012,610209,VOLTA,A311,*,,A311
2524,2011-2012,610209,VOLTA,A313,*,,A313
2525,2011-2012,610210,VON HUMBOLDT,A321,*,,A321
2526,2011-2012,610212,ALBANY PARK,A322,*,,A322
2527,2011-2012,610213,WADSWORTH,A323,*,,A323
2528,2011-2012,610215,MADERO,A330,*,,A330
2529,2011-2012,610215,MADERO,A332,*,,A332
2530,2011-2012,610215,MADERO,A348,*,,A348
2531,2011-2012,610216,WALSH,A350,*,,A350
2532,2011-2012,610216,WALSH,A358,*,,A358
2533,2011-2012,610216,WALSH,A360,*,,A360
2534,2011-2012,610216,WALSH,A370,*,,A370
2535,2011-2012,610217,"WARD, J",A380,*,,A380
2536,2011-2012,610219,"WASHINGTON, G",A410,*,,A410
2537,2011-2012,610219,"WASHINGTON, G",A411,*,,A411
2538,2011-2012,610219,"WASHINGTON, G",A412,*,,A412
2539,2011-2012,610219,"WASHINGTON, G",A413,*,,A413
2540,2011-2012,610219,"WASHINGTON, G",A420,*,,A420
2541,2011-2012,610221,WEBSTER,A421,*,,A421
2542,2011-2012,610224,WEST PULLMAN,A422,*,,A422
2543,2011-2012,610224,WEST PULLMAN,A423,*,,A423
2544,2011-2012,610225,WHISTLER,A430,*,,A430
2545,2011-2012,610225,WHISTLER,A431,*,,A431
2546,2011-2012,610226,SANDOVAL,A432,*,,A432
2547,2011-2012,610226,SANDOVAL,A440,*,,A440
2548,2011-2012,610226,SANDOVAL,A450,*,,A450
2549,2011-2012,610228,WHITTIER,B,*,,B
2550,2011-2012,610228,WHITTIER,C,*,,C
2551,2011-2012,610229,PRITZKER,,*,,
2552,2011-2012,610229,PRITZKER,A101,*,,A101
2553,2011-2012,610230,WILDWOOD,A102,*,,A102
2554,2011-2012,610231,NATIONAL TEACHERS,A103,*,,A103
2555,2011-2012,610231,NATIONAL TEACHERS,A104,*,,A104
2556,2011-2012,610231,NATIONAL TEACHERS,A105,*,,A105
2557,2011-2012,610231,NATIONAL TEACHERS,A106,*,,A106
2558,2011-2012,610234,YATES,A107,*,,A107
2559,2011-2012,610235,YOUNG,A108,*,,A108
2560,2011-2012,610235,YOUNG,A109,*,,A109
2561,2011-2012,610235,YOUNG,A110,*,,A110
2562,2011-2012,610235,YOUNG,A112,*,,A112
2563,2011-2012,610237,BEETHOVEN,A201,*,,A201
2564,2011-2012,610237,BEETHOVEN,A202,*,,A202
2565,2011-2012,610237,BEETHOVEN,A204,*,,A204
2566,2011-2012,610237,BEETHOVEN,A206,*,,A206
2567,2011-2012,610238,BOND,A207,*,,A207
2568,2011-2012,610238,BOND,A208,*,,A208
2569,2011-2012,610239,DALEY,A209,*,,A209
2570,2011-2012,610239,DALEY,A210,*,,A210
2571,2011-2012,610239,DALEY,A211,*,,A211
2572,2011-2012,610239,DALEY,A212,*,,A212
2573,2011-2012,610242,BRENNEMANN,A213,*,,A213
2574,2011-2012,610242,BRENNEMANN,A250,*,,A250
2575,2011-2012,610242,BRENNEMANN,A301,*,,A301
2576,2011-2012,610243,CALHOUN,A302,*,,A302
2577,2011-2012,610244,CLARK HS,A303,*,,A303
2578,2011-2012,610244,CLARK HS,A304,*,,A304
2579,2011-2012,610245,DOUGLASS HS,A305,*,,A305
2580,2011-2012,610245,DOUGLASS HS,A306,*,,A306
2581,2011-2012,610246,BEASLEY,A307,*,,A307
2582,2011-2012,610246,BEASLEY,A308,*,,A308
2583,2011-2012,610246,BEASLEY,A309,*,,A309
2584,2011-2012,610246,BEASLEY,A310,*,,A310
2585,2011-2012,610246,BEASLEY,A311,*,,A311
2586,2011-2012,610246,BEASLEY,A312,*,,A312
2587,2011-2012,610246,BEASLEY,A313,*,,A313
2588,2011-2012,610248,CHGO ACAD ES,A314,*,,A314
2589,2011-2012,610248,CHGO ACAD ES,A315,*,,A315
2590,2011-2012,610248,CHGO ACAD ES,A351,*,,A351
2591,2011-2012,610249,TALMAN,A401,*,,A401
2592,2011-2012,610249,TALMAN,A402,*,,A402
2593,2011-2012,610250,SALAZAR,A403,*,,A403
2594,2011-2012,610250,SALAZAR,A404,*,,A404
2595,2011-2012,610251,CATHER,A405,*,,A405
2596,2011-2012,610251,CATHER,A406,*,,A406
2597,2011-2012,610252,DETT,A407,*,,A407
2598,2011-2012,610252,DETT,A408,*,,A408
2599,2011-2012,610254,DVORAK TECH ACAD,A409,*,,A409
2600,2011-2012,610254,DVORAK TECH ACAD,A410,*,,A410
2601,2011-2012,610256,ROBINSON,A411,*,,A411
2602,2011-2012,610263,DULLES,A412,*,,A412
2603,2011-2012,610263,DULLES,A413,*,,A413
2604,2011-2012,610263,DULLES,A414,*,,A414
2605,2011-2012,610265,BANNEKER,A415,*,,A415
2606,2011-2012,610265,BANNEKER,A416,*,,A416
2607,2011-2012,610266,DUMAS TECH ACAD,A417,*,,A417
2608,2011-2012,610266,DUMAS TECH ACAD,A450,*,,A450
2609,2011-2012,610266,DUMAS TECH ACAD,A451,*,,A451
2610,2011-2012,610268,ASHE,A452,*,,A452
2611,2011-2012,610268,ASHE,A453,*,,A453
2612,2011-2012,610268,ASHE,,*,,
2613,2011-2012,610268,ASHE,A100,*,,A100
2614,2011-2012,610268,ASHE,A102,*,,A102
2615,2011-2012,610269,MCCUTCHEON,A200,*,,A200
2616,2011-2012,610269,MCCUTCHEON,A201,*,,A201
2617,2011-2012,610271,JENSEN,A202,*,,A202
2618,2011-2012,610271,JENSEN,,*,,
2619,2011-2012,610274,JOHNSON,A101,*,,A101
2620,2011-2012,610274,JOHNSON,A102,*,,A102
2621,2011-2012,610276,MOLLISON,A106,*,,A106
2622,2011-2012,610276,MOLLISON,A151,*,,A151
2623,2011-2012,610279,TANNER,A152,*,,A152
2624,2011-2012,610279,TANNER,A153,*,,A153
2625,2011-2012,610279,TANNER,A201,*,,A201
2626,2011-2012,610280,BUCKINGHAM,A202,*,,A202
2627,2011-2012,610281,POWELL,A203,*,,A203
2628,2011-2012,610281,POWELL,A206,*,,A206
2629,2011-2012,610281,POWELL,A250,*,,A250
2630,2011-2012,610281,POWELL,A251,*,,A251
2631,2011-2012,610281,POWELL,A301,*,,A301
2632,2011-2012,610282,MCNAIR,A302,*,,A302
2633,2011-2012,610283,GUGGENHEIM,A303,*,,A303
2634,2011-2012,610284,NEW FIELD,A304,*,,A304
2635,2011-2012,610287,ASHBURN,A305,*,,A305
2636,2011-2012,610287,ASHBURN,A350,*,,A350
2637,2011-2012,610287,ASHBURN,A351,*,,A351
2638,2011-2012,610290,MAYS,A401,*,,A401
2639,2011-2012,610290,MAYS,A403,*,,A403
2640,2011-2012,610291,LEE,,*,,
2641,2011-2012,610291,LEE,A007a,*,,A007a
2642,2011-2012,610291,LEE,A010a,*,,A010a
2643,2011-2012,610291,LEE,A011,*,,A011
2644,2011-2012,610291,LEE,,*,,
2645,2011-2012,610291,LEE,A103,*,,A103
2646,2011-2012,610291,LEE,A105,*,,A105
2647,2011-2012,610291,LEE,A106,*,,A106
2648,2011-2012,610291,LEE,A124,*,,A124
2649,2011-2012,610291,LEE,A126,*,,A126
2650,2011-2012,610293,MELODY,A128,*,,A128
2651,2011-2012,610293,MELODY,A201,*,,A201
2652,2011-2012,610299,HINTON,A204,*,,A204
2653,2011-2012,610299,HINTON,A205,*,,A205
2654,2011-2012,610300,WESTCOTT,A207,*,,A207
2655,2011-2012,610300,WESTCOTT,,*,,
2656,2011-2012,610300,WESTCOTT,A201,*,,A201
2657,2011-2012,610300,WESTCOTT,A205,*,,A205
2658,2011-2012,610300,WESTCOTT,A206,*,,A206
2659,2011-2012,610304,PHOENIX MILITARY HS,A210,*,,A210
2660,2011-2012,610304,PHOENIX MILITARY HS,A303,*,,A303
2661,2011-2012,610304,PHOENIX MILITARY HS,A304,*,,A304
2662,2011-2012,610304,PHOENIX MILITARY HS,,*,,
2663,2011-2012,610304,PHOENIX MILITARY HS,A300,*,,A300
2664,2011-2012,610304,PHOENIX MILITARY HS,A301,*,,A301
2665,2011-2012,610312,MCDOWELL,A302,*,,A302
2666,2011-2012,610313,DIEGO,A305,*,,A305
2667,2011-2012,610313,DIEGO,A308,*,,A308
2668,2011-2012,610315,WHITE,A310,*,,A310
2669,2011-2012,610316,EARHART,A311,*,,A311
2670,2011-2012,610316,EARHART,,*,,
2671,2011-2012,610316,EARHART,A103,*,,A103
2672,2011-2012,610317,BRIGHTON PARK,A204,*,,A204
2673,2011-2012,610317,BRIGHTON PARK,A226,*,,A226
2674,2011-2012,610317,BRIGHTON PARK,A231,*,,A231
2675,2011-2012,610317,BRIGHTON PARK,A303,*,,A303
2676,2011-2012,610317,BRIGHTON PARK,A304,*,,A304
2677,2011-2012,610317,BRIGHTON PARK,A305,*,,A305
2678,2011-2012,610319,EVERGREEN,A306,*,,A306
2679,2011-2012,610319,EVERGREEN,A307,*,,A307
2680,2011-2012,610320,DUPREY,,*,,
2681,2011-2012,610320,DUPREY,A123,*,,A123
2682,2011-2012,610321,"MARSHALL, T",A124,*,,A124
2683,2011-2012,610323,NEW MILLENNIUM HS,A221,*,,A221
2684,2011-2012,610325,LOGANDALE,A223,*,,A223
2685,2011-2012,610325,LOGANDALE,A224,*,,A224
2686,2011-2012,610325,LOGANDALE,,*,,
2687,2011-2012,610325,LOGANDALE,A102,*,,A102
2688,2011-2012,610329,OROZCO,A103,*,,A103
2689,2011-2012,610329,OROZCO,A104,*,,A104
2690,2011-2012,610329,OROZCO,A203,*,,A203
2691,2011-2012,610336,WILIAMS MIDDLE,A204,*,,A204
2692,2011-2012,610339,STAGG,A205,*,,A205
2693,2011-2012,610339,STAGG,B212,*,,B212
2694,2011-2012,610340,CHGO ACAD HS,B217,*,,B217
2695,2011-2012,610342,SABIN,,*,,
2696,2011-2012,610342,SABIN,8,*,,200
2697,2011-2012,610345,WOODSON,A100,*,,A100
2698,2011-2012,610345,WOODSON,A102,*,,A102
2699,2011-2012,610347,CLAREMONT,A104,*,,A104
2700,2011-2012,610350,BLACK,A203,*,,A203
2701,2011-2012,610352,DURKIN PARK,A208,*,,A208
2702,2011-2012,610355,COURTENAY,A302,*,,A302
2703,2011-2012,610355,COURTENAY,A303,*,,A303
2704,2011-2012,610362,EVERS,A304,*,,A304
